"","row_number","id","track_name","size_bytes","currency","price","rating_count_tot","rating_count_ver","user_rating","user_rating_ver","ver","cont_rating","prime_genre","sup_devices.num","ipadSc_urls.num","lang.num","vpp_lic"
"79",156,312343159,"The Moron Test",45712384,"USD",0,88613,392,4,4.5,"6.3.1","4+","Entertainment",37,5,1,1
"80",157,313199385,"Sunday Lawn",16086016,"USD",0.99,107727,55,3.5,4.5,"1.41.1","4+","Games",37,3,1,1
"81",158,314303518,"Peggle Classic",223805440,"USD",0.99,21416,974,4.5,4.5,"1.7.2","4+","Games",43,0,5,1
"82",160,314652382,"I Am T-Pain 2.0",20542280,"USD",2.99,32650,754,3.5,3.5,"2.0.4","12+","Music",43,1,1,1
"83",161,314716233,"TextNow - Unlimited Text + Calls",130637824,"USD",0,164963,69,3.5,4,"8.5.1","4+","Social Networking",37,5,3,1
"84",163,314855255,"Best Buy",180500480,"USD",0,80424,46,4,4.5,"10.11.0","4+","Shopping",37,5,2,1
"85",164,314864297,"I Dig It",19853312,"USD",0.99,17190,180,4,4.5,"1.12","4+","Games",40,0,1,1
"86",165,315021242,"Unblock Me",42926080,"USD",0.99,7973,127,4,5,"1.5.95","4+","Games",40,5,15,1
"87",166,316025912,"Sonic The Hedgehog",36692992,"USD",2.99,19621,1191,4,4.5,"2.1.2","4+","Games",37,5,1,1
"88",168,316227296,"10 Pin Shuffle Pro Bowling",36647936,"USD",3.99,7315,138,4,4.5,"2.01","4+","Games",37,5,6,1
"89",171,317469184,"ESPN: Get scores, news, alerts & watch live sports",51538944,"USD",0,290996,150,3.5,3.5,"5.7.1","4+","Sports",37,5,2,1
"90",172,317809458,"LiveATC Air Radio",8302592,"USD",3.99,2785,90,4,4,"1.9.0","4+","Travel",37,5,26,1
"91",173,317904170,"The Sims 3",430128128,"USD",6.99,54408,65,3.5,2,"1.4.10","12+","Games",37,5,8,1
"92",175,318304532,"Chess Pro with Coach - Learn,Play & Online Friends",69960704,"USD",9.99,8138,107,4,4.5,"2.89","4+","Games",37,5,13,1
"93",176,318592730,"Guess My Age  Math Magic",767126,"USD",0,123190,68841,3,3,"1.1","4+","Education",47,0,1,1
"94",177,318639200,"Crush the Castle",12996628,"USD",0.99,23810,582,3.5,4,"1.5","12+","Games",45,0,1,1
"95",178,319204550,"2016 U.S. Open Golf Championship",139545600,"USD",0,54192,32,4,2,"8.0.263","4+","Sports",37,0,1,1
"96",179,319284643,"The Championships, Wimbledon 2016 - Tennis Grand Slam",130394112,"USD",0,20953,481,4,4,"8.1","4+","Sports",37,5,1,1
"97",180,319295332,"TuneIn Radio Pro - MLB Audiobooks Podcasts Music",101925888,"USD",9.99,71609,99,4.5,4,"11.9","12+","Music",37,4,14,1
"98",185,320300350,"Virtual Families",27746273,"USD",1.99,18920,3014,3.5,4.5,"1.1.2","9+","Games",47,0,1,1
"99",192,321756558,"Pixel Starships™ : 8Bit MMORPG",69083136,"USD",0,5565,140,4.5,4.5,"0.39","9+","Games",37,5,17,1
"100",193,322423174,"Traffic Rush",8573952,"USD",0.99,213092,51,3.5,4.5,"1.45.1","9+","Games",37,3,1,1
"101",194,322439990,"MyRadar NOAA Weather Radar Forecast",127284224,"USD",0,150158,3392,4.5,5,"5.1.4","4+","Weather",37,2,8,1
"102",196,322523436,"Resident Evil 4: PLATINUM",81374398,"USD",4.99,6046,446,4,4,"1.04.10","12+","Games",47,0,1,1
"103",197,323229106,"Waze - GPS Navigation, Maps & Real-time Traffic",94139392,"USD",0,345046,3040,4.5,4.5,"4.24","4+","Navigation",37,5,36,1
"104",198,323242790,"Cartoon Wars",13216994,"USD",0.99,35930,262,3.5,4,"114","12+","Games",43,0,1,1
"105",199,323438913,"Moto X Mayhem",21010210,"USD",0.99,22557,526,4,4,"1.8.7","4+","Games",47,0,1,1
"106",202,324684580,"Spotify Music",132510720,"USD",0,878563,8253,4.5,4.5,"8.4.3","12+","Music",37,5,18,1
"107",204,325462190,"PGA Championship 2016 – Baltusrol Golf Club",64147456,"USD",0,10472,58,3.5,2,"8.1","17+","Sports",37,5,1,0
"108",206,325658560,"BFMTV : l'info en continu",100779008,"USD",0,115,70,4,5,"5.0.3","17+","News",37,4,1,0
"109",207,325683306,"MyRadar Pro NOAA Weather Radar, Forecasts & Storms",123718656,"USD",1.99,13915,205,4.5,5,"5.1.4","4+","Weather",37,2,8,1
"110",208,325954996,"Spider:  The Secret of Bryce Manor",126312448,"USD",1.99,6780,68,4,4.5,"1.5","9+","Games",38,0,5,1
"111",209,325962257,"My Measures PRO",79882240,"USD",7.99,1701,35,4,4.5,"6.06","4+","Productivity",37,5,21,1
"112",213,326574411,"Baby Connect (Activity Log)",12937216,"USD",4.99,3483,79,4.5,5,"5.4.3","4+","Medical",37,0,14,1
"113",215,326885152,"Mad Libs",118498304,"USD",0,117889,725,3,4.5,"3.3.3","4+","Entertainment",38,1,1,1
"114",217,326979430,"BATTLE BEARS: Zombies!",103197675,"USD",0.99,50710,309,3.5,4,"1.6.7","9+","Games",45,0,1,1
"115",220,327243363,"NFL Sunday Ticket",96093184,"USD",0,24258,305,3,2.5,"2.6.042","4+","Entertainment",37,0,1,1
"116",221,327455869,"2016 US Open Tennis Championships",77700096,"USD",0,37522,39,4,3,"8.0.353","4+","Sports",37,4,1,1
"117",223,328011357,"Wa Kingyo - Goldfish Pond",56397824,"USD",0.99,626,44,4,5,"2.0.3","4+","Entertainment",38,5,2,1
"118",224,328205875,"Monkey Preschool Lunchbox",229272576,"USD",1.99,9286,49,4,3.5,"4.02","4+","Games",38,5,1,1
"119",228,329541503,"Geocaching®",108166144,"USD",0,12811,134,3.5,1.5,"5.3","4+","Navigation",37,0,22,1
"120",229,329670577,"Camera+",89187328,"USD",1.99,32338,261,4,4.5,"9.1","4+","Photo & Video",37,0,10,1
"121",230,329703516,"Alter Ego",13647872,"USD",4.99,262,43,4,4,"1.3.0","12+","Games",40,5,1,1
"122",231,329887910,"Parking Mania",123544576,"USD",0.99,9657,47,4.5,4.5,"2.5.0","4+","Games",38,0,12,1
"123",232,329981776,"Sudoku⁺",1608704,"USD",2.99,18332,1007,4.5,5,"3.4","4+","Games",37,5,2,1
"124",234,330376830,"Period Tracker Lite",50169856,"USD",0,53620,2872,4,5,"9.5.1","12+","Health & Fitness",38,0,15,1
"125",235,330803072,"Camera Plus: For Macro Photos & Remote Photography",101181440,"USD",0.99,38533,36,2.5,3.5,"4.5.4","4+","Photo & Video",37,4,11,1
"126",238,331177714,"Starbucks",135032832,"USD",0,303856,7027,4.5,4.5,"4.3.5","4+","Food & Drink",37,0,2,1
"127",240,331271904,"Bloons TD",8432232,"USD",2.99,7941,76,4,3.5,"1.2.1","4+","Games",47,0,1,1
"128",241,331308914,"Weight Watchers",230720512,"USD",0,136833,64,3.5,4.5,"5.9.0","12+","Health & Fitness",37,5,6,1
"129",242,331786748,"CNN: Breaking US & World News, Live Video",80211968,"USD",0,112886,298,3.5,1.5,"5.3","12+","News",37,1,1,1
"130",245,332568551,"TRUTH or DARE!!! - FREE",20795392,"USD",0,171055,31,3,3.5,"5","12+","Entertainment",38,1,1,1
"131",246,333180061,"Canabalt",27934720,"USD",2.99,4540,140,4,4.5,"2.31","9+","Games",43,5,15,1
"132",248,333246187,"Scanner911 Pro",33812480,"USD",3.99,14345,100,4,2.5,"4.0","12+","News",37,0,1,1
"133",249,333263435,"Daily Teachings",20298752,"USD",4.99,1340,288,4.5,5,"1.7.3","4+","Lifestyle",38,0,1,1
"134",250,333710667,"Scanner Pro - PDF document scanner app with OCR",101346304,"USD",3.99,31912,154,4.5,5,"7.1.3","4+","Business",37,5,9,1
"135",251,333903271,"Twitter",210569216,"USD",0,354058,452,3.5,4,"6.79.1","17+","News",37,2,33,1
"136",253,334256223,"CBS News - Watch Free Live Breaking News",78047232,"USD",0,11691,44,3.5,4.5,"3.5.1","12+","News",37,5,1,1
"137",255,334503000,"The Impossible Quiz!",44652544,"USD",0,18884,451,4,4.5,"1.62","9+","Entertainment",37,0,1,1
"138",257,334989259,"WolframAlpha",30369792,"USD",2.99,7410,82,4,4.5,"1.7.3","9+","Reference",37,5,1,1
"139",258,335029050,"Catan",376171520,"USD",1.99,15175,308,4,4,"4.6.2","4+","Games",38,0,6,1
"140",259,335047649,"ScanBizCards Business Card Reader",96815104,"USD",0.99,3166,34,4,4.5,"6.08","4+","Business",37,5,5,1
"141",261,335364882,"Walgreens – Pharmacy, Photo, Coupons and Shopping",169138176,"USD",0,88885,333,4.5,4,"6.5","12+","Shopping",37,5,1,1
"142",262,335545504,"King of Dragon Pass",364490752,"USD",9.99,882,85,5,5,"2.3.2","12+","Games",43,5,1,1
"143",263,335709058,"Stylebook",44135424,"USD",3.99,1729,599,4,4.5,"7.0","17+","Lifestyle",37,5,3,1
"144",265,335862325,"Blower",98942976,"USD",0.99,861,70,2,2.5,"4.2","4+","Entertainment",40,4,1,1
"145",266,335875911,"My Cycles Period and Ovulation Tracker",77686784,"USD",0,7469,68,3.5,5,"5.10.3","12+","Health & Fitness",37,0,2,1
"146",269,336347946,"DOOM Classic",32796672,"USD",4.99,3970,509,4,4,"2.7","17+","Games",40,3,5,1
"147",270,336353151,"SoundCloud - Music & Audio",105009152,"USD",0,135744,594,4,4.5,"5.6.0","4+","Music",37,4,7,1
"148",272,336477530,"Plane Finder - Flight Tracker",52632576,"USD",3.99,1438,171,4,4,"9.4.1","4+","Navigation",37,3,10,1
"149",278,336860594,"Victoria’s Secret – The Sexiest Bras & Lingerie",60976128,"USD",0,34507,38,3.5,5,"5.2.1","12+","Shopping",37,0,1,1
"150",279,337021781,"MONOPOLY Game",194386944,"USD",0.99,26482,331,3.5,2.5,"1.4.04","4+","Games",37,0,6,1
"151",283,337402021,"Harry Potter: Spells",125411328,"USD",0.99,17023,916,4,4.5,"2.2","4+","Games",40,0,1,1
"152",287,337866370,"Jet Car Stunts",32848910,"USD",1.99,4088,436,4,4.5,"1.5.0","4+","Games",47,4,1,1
"153",288,338057689,"Call of Duty: Zombies",52821364,"USD",4.99,63943,31264,4,4,"1.5.0","17+","Games",47,0,1,1
"154",289,338137227,"Walmart: Free 2-Day Shipping,* Easy Store Shopping",146507776,"USD",0,70286,51,3,4,"17.8","4+","Shopping",37,0,1,1
"155",291,338828953,"Shop Savvy Barcode Scanner - Price Compare & Deals",89517056,"USD",0,54630,280,2.5,4.5,"12.0","4+","Shopping",37,4,1,1
"156",292,339440515,"Voice Changer Plus",40722432,"USD",0,98777,233,3,4,"5.01","4+","Entertainment",37,2,12,1
"157",294,339532909,"Redbox",83906560,"USD",0,60236,58,3,4.5,"5.24","12+","Entertainment",37,0,1,1
"158",296,340769953,"Trenches",37340259,"USD",0.99,26732,1428,4,4.5,"1.9.3","17+","Games",43,0,1,1
"159",298,341036067,"Macy's",107816960,"USD",0,11013,76,3.5,5,"5.11.0","4+","Shopping",37,0,1,1
"160",299,341232718,"Calorie Counter & Diet Tracker by MyFitnessPal",152700928,"USD",0,507706,181,4.5,4.5,"7.16","4+","Health & Fitness",37,5,19,1
"161",302,341776037,"5-0 Radio Pro Police Scanner (Extra Feeds)",49594368,"USD",3.99,24553,2620,4,4.5,"39.1","9+","News",38,5,26,1
"162",305,342548956,"TurboScan™ Pro - document & receipt scanner: scan multiple pages and photos to PDF",8821760,"USD",4.99,28388,7009,5,5,"2.8.2","4+","Business",38,5,9,1
"163",309,342792525,"IMDb Movies & TV - Trailers and Showtimes",88702976,"USD",0,183425,4724,4.5,5,"7.11","12+","Entertainment",37,5,10,1
"164",310,343200656,"Angry Birds",175966208,"USD",0,824451,107,4.5,3,"7.4.0","4+","Games",38,0,10,1
"165",314,344065205,"The Font Game",5415000,"USD",1.99,438,295,4.5,4.5,"2.1","4+","Games",45,0,1,1
"166",317,344186162,"Grand Theft Auto: Chinatown Wars",878883840,"USD",4.99,15142,73,4,4,"4.4","17+","Games",38,5,6,1
"167",319,345445479,"The Sims 3 World Adventures",812758016,"USD",2.99,9744,42,3.5,3,"1.2.21","12+","Games",37,4,6,1
"168",320,345542655,"Star Chart",28616704,"USD",0,13482,2517,4.5,4.5,"3.98","4+","Education",38,5,8,1
"169",321,346184215,"TaxCaster – Free tax refund calculator",7111680,"USD",0,17516,125,3.5,5,"7.2","4+","Finance",37,5,1,1
"170",322,346453382,"Glow Hockey 2 FREE",34056767,"USD",0,186653,226,3.5,3.5,"2.2.9","4+","Games",43,0,1,1
"171",323,346513173,"Big Button Box - funny sounds, sound effects buttons, pro fx soundboard, fun games board, scary music, annoying fart noises, jokes, super cool dj effect, cat, dog & animal fx",21450752,"USD",0.99,10031,142,4,5,"4.1","4+","Entertainment",43,0,1,1
"172",325,347310316,"All-in-1 Logic GameBox",22299021,"USD",0.99,9854,823,4,4,"1.19","4+","Games",47,0,1,1
"173",326,347393479,"Roadside America",10231808,"USD",2.99,1093,106,4,4.5,"1.9.0","9+","Travel",38,0,1,1
"174",327,347400507,"Pocket Yoga",132480000,"USD",2.99,4475,95,4.5,4.5,"5.3.2","4+","Health & Fitness",37,5,2,1
"175",328,347411942,"Sonic the Hedgehog 2",47182848,"USD",2.99,9405,1089,4,4.5,"3.1.10","4+","Games",37,5,1,1
"176",330,347418999,"Simply Being - Guided Meditation for Relaxation and Presence",100048896,"USD",1.99,2417,1366,4.5,4.5,"6.0","4+","Health & Fitness",38,2,1,1
"177",331,347803339,"CamCard - Business card scanner & reader",174839808,"USD",0.99,2923,300,4.5,4.5,"7.9.5","4+","Business",37,0,7,1
"178",332,348530331,"This American Life",13725696,"USD",2.99,8657,1468,3.5,4,"3.0.8","9+","Entertainment",38,4,1,1
"179",335,348684697,"franceinfo - l'actualité & les élections en direct",155857920,"USD",0,162,32,4,5,"5.2.0","17+","News",37,5,2,1
"180",338,349276209,"Doodle Army",17879270,"USD",0.99,12354,1428,4,4.5,"3.1.0","12+","Games",47,0,1,1
"181",341,350642635,"Plants vs. Zombies",105379840,"USD",0.99,426463,680,5,4,"1.9.13","9+","Games",38,0,5,1
"182",346,351707231,"Flick Kick Field Goal",75612160,"USD",1.99,36946,152,4.5,4,"1.11.0","4+","Games",38,5,3,1
"183",347,351727428,"Venmo",68153344,"USD",0,21090,1325,4.5,5,"7.1.0","4+","Finance",37,4,1,1
"184",350,352000376,"Shift Worker",7344128,"USD",1.99,348,33,4,4,"1.5.4","4+","Productivity",40,0,1,0
"185",351,352041837,"Spy Calc - Hide pictures, videos, documents",25097281,"USD",1.99,207,50,3.5,3,"3.0.3","9+","Utilities",40,0,34,1
"186",353,352247139,"MyNetDiary PRO - Calorie Counter and Food Diary",83851264,"USD",3.99,15188,272,4.5,4,"5.30","12+","Health & Fitness",37,0,2,1
"187",354,352509417,"The Washington Post Classic",118980608,"USD",0,18572,307,4.5,4.5,"3.8.2","12+","News",37,3,1,1
"188",355,352670055,"F-Sim Space Shuttle",76394496,"USD",4.99,6403,491,4.5,4.5,"2.10","4+","Games",43,5,1,1
"189",356,352683833,"Groupon - Deals, Coupons & Discount Shopping App",127382528,"USD",0,417779,914,4.5,4.5,"17.7","12+","Shopping",37,4,10,1
"190",359,353603279,"Parents Calling Easter Bunny",8073209,"USD",1.99,72,72,2,2,"1.0","4+","Lifestyle",47,0,1,1
"191",362,354051766,"DOOM II RPG",48700821,"USD",0.99,1455,1450,3,3,"1.0","12+","Games",47,0,1,1
"192",364,354655665,"STREET FIGHTER IV",581353472,"USD",4.99,15056,751,4,4,"1.00.12","17+","Games",40,0,3,1
"193",366,354972939,"FINAL FANTASY",114843648,"USD",7.99,6091,75,4,3.5,"1.1.2","9+","Games",38,3,8,1
"194",367,354974729,"FINAL FANTASY II",199450624,"USD",7.99,2754,55,4,2.5,"1.1.1","9+","Games",38,5,6,1
"195",375,357218860,"Kik",151864320,"USD",0,260965,228,4,3,"11.21.0","12+","Social Networking",37,0,14,0
"196",376,357404131,"Slow Shutter Cam",4466688,"USD",1.99,2305,100,4,5,"4.0","4+","Photo & Video",37,5,4,1
"197",379,357467791,"AgingBooth",31869952,"USD",0,11999,233,4,4.5,"3.9.5","4+","Entertainment",37,4,1,1
"198",380,357577420,"iWatermark - Watermark 1 or Batch of Photos. Watermarking with Text, Logo, & Graphics Overlays.",21771264,"USD",1.99,1995,148,4.5,4.5,"6.5","12+","Photo & Video",38,5,14,1
"199",381,357828853,"Tabs & Chords by Ultimate Guitar - learn and play",103049216,"USD",2.99,35045,250,4.5,4.5,"3.1.2","4+","Music",37,0,6,1
"200",383,358207332,"Drawing Pad",220397568,"USD",1.99,1824,113,4,4,"2.5.1","4+","Entertainment",24,5,22,1
"201",385,359891723,"ESPN Tournament Challenge",69057536,"USD",0,39642,492,4,4,"5.5.3","4+","Sports",37,5,1,1
"202",386,359917414,"Solitaire",101943296,"USD",0,679055,9673,4.5,4.5,"4.11.2","4+","Games",38,4,11,1
"203",388,360593530,"Notability",122235904,"USD",9.99,17594,143,4,4,"6.5.2","4+","Productivity",37,5,14,1
"204",390,361231506,"Rubik's® Cube",151954432,"USD",1.99,3531,177,4,4.5,"2.5","4+","Games",38,5,1,1
